,4,2,1,3
4,"('-0.0240', '0.0010')","('-0.0168', '0.0007')","('-0.0371', '0.0015')","('-0.0186', '0.0006')"
1,"('-0.0184', '0.0002')","('-0.0181', '0.0008')","('-0.0098', '0.0005')","('-0.0162', '0.0005')"
3,"('-0.0212', '0.0012')","('-0.0152', '0.0006')","('-0.0073', '0.0001')","('-0.0136', '0.0004')"
2,"('-0.0113', '0.0004')","('-0.0195', '0.0009')","('-0.0355', '0.0014')","('-0.0085', '0.0010')"
,,,,
,,,,
,,-0.024,,
,,-0.0184,,
,,-0.0212,,
,,-0.0113,,
,,0.0168,,
,,-0.0181,,
,,-0.0152,,
,,-0.0195,,
,,-0.0371,,
,,-0.0098,,
,,-0.0073,,
,,-0.0355,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,-0.0167166666666667,,
