,4,2,1,3
4,"('-0.0019', '0.0000')","('0.0042', '0.0000')","('0.0017', '0.0000')","('-0.0015', '0.0000')"
1,"('0.0001', '0.0000')","('-0.0014', '0.0000')","('0.0001', '0.0000')","('-0.0003', '0.0000')"
3,"('-0.0008', '0.0000')","('-0.0008', '0.0000')","('-0.0466', '0.0035')","('-0.0010', '0.0001')"
2,"('-0.0001', '0.0000')","('-0.0116', '0.0001')","('-0.0025', '0.0000')","('0.0003', '0.0000')"
,,,,
,,-0.0019,,
,,0.0001,,
,,-0.0008,,
,,-0.0001,,
,,0.0042,,
,,-0.0014,,
,,-0.0008,,
,,-0.0116,,
,,0.0017,,
,,0.0001,,
,,-0.0466,,
,,-0.0025,,
,,-0.0015,,
,,-0.0003,,
,,-0.001,,
,,0.0003,,
,,,,
,,-0.00388125,,
